question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-001-003-001;Transmissions outside of amateur radio bands:;are prohibited and penalties could be assessed to the control operator;must be identified with your call sign;are permitted when using less than 1 watt;are permitted for short tests only;Les émissions hors des bandes du service de radioamateur:;sont interdites et l'opérateur responsable pourrait faire l'objet de sanctions;doivent être identifiées au moyen de l'indicatif d'appel;sont autorisées à une puissance inférieure à 1 watt;sont autorisées uniquement pour de courtes périodes d'essai
B-001-003-002;What is the term in the regulations that defines if an amateur radio operator falsely transmits the word "MAYDAY" when there isn't an emergency?;A false or fraudulent message;An encrypted message;An emergency test transmission;A privileged communication;Si un radioamateur veut faire croire à une situation d'urgence et utilise le mot "MAYDAY", comment les règlements décrivent-ils ce geste?;Un message faux ou frauduleux;Un message encodé;Un essai de transmission durant un exercice d'urgence;Une communication privilégiée
B-001-003-003;Transmitting a false or fraudulent distress signal or message is prohibited. The person found guilty is liable to what penalty?;A fine, not exceeding $5 000, or a prison term not exceeding one year, or both;A fine of $10 000;A prison term of two years;A fine not exceeding $1 000;Émettre faussement ou frauduleusement un signal de détresse ou un message est interdit. Quelle est la peine encourue par une personne reconnue coupable de cette infraction?;Une amende maximale de 5 000 $, ou un emprisonnement maximal d'un an, ou les deux à la fois;Une amende de 10 000 $;Un emprisonnement de deux ans;Une amende maximale de 1 000 $
B-001-003-004;Which government document states the offences and penalties relating to radiocommunications?;The Radiocommunication Act;The Broadcasting Act;The Radiocommunications Regulations;The Radio Systems Policies;Quel document gouvernemental stipule les infractions et les peines pour manquements aux règles régissant la radiocommunication?;La Loi sur la radiocommunication;La Loi sur la radiodiffusion;Le Règlement sur la radiocommunication;La Politique des systèmes radio
B-001-003-005;Which of the following is NOT correct? The Minister of Innovation, Science and Industry may suspend an Amateur Radio Operator Certificate:;with no notice, or opportunity to make representations thereto;where the holder has contravened the Radiocommunication Act, its regulations, or the terms and conditions of the certificate;where the certificate was obtained through misrepresentation;where the holder has failed to comply with a request to pay fees or interest due;Lequel des énoncés suivants est FAUX? Le ministre peut suspendre le certificat d'opérateur d'un radioamateur:;sans avis ni donner droit à des représentations;quand le titulaire a transgressé la Loi sur la radiocommunication, le Règlement sur la radiocommunication ou les conditions rattachées au certificat;quand le certificat a été obtenu sous fausse représentation;quand le titulaire n'a pas payé les droits requis ou les intérêts dus
B-001-003-006;Which of the following statements is NOT correct?;A radio inspector may enter a dwelling without the consent of the occupant and without a warrant;Where entry is refused, and is necessary to perform their duties under the Radiocommunication Act, a radio inspector may obtain a warrant;In executing a warrant, a radio inspector shall not use force, unless accompanied by a peace officer, and force is authorized;The person responsible for a dwelling entered by a radio inspector shall provide the inspector the requested information;Lequel des énoncés suivants est FAUX?;Un inspecteur de la radio peut entrer dans une habitation sans le consentement de l'occupant et sans mandat;L'inspecteur radio peut obtenir un mandat lorsque la visite des lieux est refusée et que l'inspection doit se faire selon la Loi sur la radiocommunication;Dans l'exécution du mandat, l'inspecteur ne doit pas utiliser la force à moins d'être accompagné d'un policier;La personne responsable du lieu visité par un inspecteur de la radio doit donner l'information requise
B-001-003-007;When is an amateur radio operator permitted to transmit false information?;Transmitting false information is never permitted;To play a practical joke, for example, giving incorrect location of an amateur radio event;To conceal their identity when responding to inappropriate on-air conduct;To exaggerate the scope of an emergency to obtain help more rapidly;Dans quelle situation un radioamateur peut-il émettre de l'information fausse?;Émettre de faux messages n'est jamais autorisé;Pour faire une farce, par exemple, des indications incorrectes sur un évènement pour radioamateurs;Pour masquer votre identité alors que vous répondez à un comportement inapproprié en ondes;Pour exagérer l'importance d'une urgence en espérant une aide plus rapide
B-001-003-008;Interfering with, or obstructing any radio communication, without lawful cause, is prohibited. The person found guilty is liable to what penalty?;A fine, not exceeding $5 000, or a prison term not exceeding one year, or both;A fine of $10 000;A prison term of two years;A fine not exceeding $1 000;Gêner ou entraver une radiocommunication, sans excuse légitime, est interdit. Quelle est la peine encourue par une personne reconnue coupable de cette infraction?;Une amende maximale de 5 000 $, ou un emprisonnement maximal d'un an, ou les deux à la fois;Une amende de 10 000 $;Un emprisonnement de deux ans;Une amende maximale de 1 000 $
B-001-004-001;How old must you be to hold an Amateur Radio Operator Certificate with Basic Qualification?;There are no age limits;70 years or younger;18 years or older;14 years or older;Quel âge devez-vous avoir pour détenir un certificat d'opérateur radioamateur avec compétence de base?;Il n'y a pas de limite d'âge;70 ans ou moins;18 ans ou plus;14 ans ou plus
B-001-004-002;Which examination must be passed before an Amateur Radio Operator Certificate is issued?;Basic Qualification;A practical test;Morse code;Advanced Qualification;Quel examen doit-être réussi pour obtenir un certificat d'opérateur radioamateur?;Compétence de base;Un test pratique;Compétence en code Morse;Compétence supérieure
B-001-004-003;Holders of which one of the following certificates may be issued an Amateur Radio Operator Certificate?;Canadian Radiocommunication Operator General Certificate Maritime (RGMC);Canadian Restricted Operator Certificate - Maritime (ROC-M);Canadian Restricted Operator's Certificate - Maritime Commercial (ROC-MC);Canadian Restricted Operator Certificate - Aeronautical (ROC-A);Parmi les certificats suivants, quels titulaires peuvent recevoir un certificat d'opérateur radioamateur?;Certificat général d'opérateur des radiocommunications - maritime (CGRM);Certificat restreint d'opérateur - maritime (CRO-M);Certificat restreint d'opérateur radio - commercial maritime (CRO-CM);Certificat restreint d'opérateur - aéronautique (CRO-A)
B-001-004-004;After an Amateur Radio Operator Certificate with Basic Qualification is issued, the holder may be examined for additional qualifications in the following order:;any order;Morse code after passing the Advanced;Morse code after passing the Basic with Honours;Advanced after passing Morse code;Après avoir obtenu un certificat d'opérateur radioamateur avec compétence de base, un requérant peut subir un examen pour des compétences supplémentaires dans l'ordre suivant:;dans n'importe quel ordre;compétence en code Morse après avoir obtenu la compétence supérieure;compétence en code Morse après avoir obtenu la compétence de base avec distinction;compétence supérieure après avoir obtenu la compétence en code Morse
B-001-004-005;What sending and receiving speed, in words per minute (wpm), must you achieve to be granted the Morse code Qualification?;5 wpm;12 wpm;7 wpm;15 wpm;Quelle vitesse en mots par minute devez-vous atteindre, en émission et réception, pour obtenir la compétence en code Morse?;5 mots/min;12 mots/min;7 mots/min;15 mots/min
B-001-004-006;You hold an Amateur Radio Operator Certificate with Advanced Qualification. Besides the amateur radio service, in what other service does this authorization allow you to operate a station?;No other service;Aeronautical service;Maritime service;Land mobile service;Vous détenez un certificat d'opérateur radioamateur avec compétence supérieure. Outre le service de radioamateur, dans quel autre service cette autorisation vous permet-elle d'exploiter une station?;Aucun autre service;Service aéronautique;Service maritime;Service mobile terrestre
B-001-004-007;What conditions must candidates for amateur radio certification meet?;Have a valid address in Canada;Be a Canadian citizen;Be a Canadian citizen or permanent resident;Be at least 14 years of age and a Canadian citizen or permanent resident;Quelles exigences s'appliquent au candidat pour un examen au Certificat d'opérateur radioamateur?;Avoir une adresse valide au Canada;Être citoyen canadien;Être citoyen canadien ou résident permanent;Avoir au moins 14 ans, en plus d'être citoyen canadien ou résident permanent
B-001-005-001;Under what circumstances can an amateur radio operator with an Advanced Qualification install, place in operation, modify or repair radio apparatus on behalf of another person?;If the other person holds an authorization for this apparatus;Pending the granting of a radio authorization, if the apparatus covers amateur radio and commercial bands;Pending the granting of an Amateur Radio Operator Certificate if the apparatus covers amateur radio bands only;Pending the granting of an authorization if the apparatus is certified and crystal controlled;Dans quelles circonstances, un radioamateur qui possède la compétence supérieure peut-il installer, mettre en service, modifier ou réparer un appareil radio pour le compte d'une autre personne?;Si l'autre personne détient une autorisation pour cet appareil;En attendant l'autorisation de radiocommunication si l'appareil fonctionne dans les bandes du service de radioamateur et du service commercial;En attendant le certificat d'opérateur radioamateur, si l'appareil fonctionne seulement dans les bandes du service de radioamateur;En attendant l'autorisation de radiocommunication si l'appareil est homologué et piloté par quartz
B-001-005-002;Under what circumstances can an amateur radio operator reprogram a land mobile transmitter on behalf of another person for use on 2 metres?;Only if the other person holds an Amateur Radio Operator Certificate;Only if an amateur radio operator with an Advanced Qualification performs the modification;Only if the other person holds an Advanced Qualification;Only if the other person holds a Basic with Honours Qualification;Dans quelles circonstances, un radioamateur peut-il reprogrammer un émetteur du service mobile terrestre pour le compte d'une autre personne en vue d'une utilisation sur la bande de 2 mètres?;Seulement si l'autre personne détient un certificat d'opérateur radioamateur;Seulement si le radioamateur effectuant la modification détient une compétence supérieure;Seulement si l'autre personne détient une compétence supérieure;Seulement si l'autre personne détient une compétence de base avec distinction
B-001-005-003;What regulatory requirement must be met to allow you to install an amateur radio transmitter on behalf of another person?;Both you and the other person must hold Amateur Radio Operator Certificates;Only the other person must hold an Amateur Radio Operator Certificate;Only you must hold an Amateur Radio Operator Certificate;The other person must be enrolled in an amateur radio certification course;Quelle exigence réglementaire doit être respectée pour vous permettre d'installer un émetteur de radio amateur au nom d'une autre personne?;Vous et l'autre personne devez être titulaires d'un certificat d'opérateur radioamateur;Seule l'autre personne doit être titulaire d'un certificat d'opérateur radioamateur;Vous seul devez être titulaire d'un certificat d'opérateur radioamateur;L'autre personne doit être inscrite à un cours de certification en radio amateur
B-001-005-004;An amateur radio operator with Basic and Morse code qualifications may install an amateur radio station for another person:;only if the other person is the holder of a valid Amateur Radio Operator Certificate;only if the final power input does not exceed 100 watts;only if the station is for use on one of the VHF bands;only if the DC power input to the final stage does not exceed 200 watts;Un radioamateur qui possède la compétence en code Morse, en plus de la compétence de base, peut installer une station de radio amateur pour une autre personne:;seulement si l'autre personne est titulaire d'un certificat d'opérateur radioamateur valide;seulement si la puissance d'entrée à l'amplificateur de puissance n'excède pas 100 watts;seulement si la station doit être utilisée sur une des bandes VHF;seulement si la puissance en courant continu à l'entrée de l'étage final n'excède pas 200 watts
B-001-005-005;What regulatory requirement must be met to allow you to repair an amateur radio transmitter on behalf of another person?;Both you and the other person must hold Amateur Radio Operator Certificates;Only the other person must hold an Amateur Radio Operator Certificate;Only you must hold an Amateur Radio Operator Certificate;The other person must be enrolled in an amateur radio certification course;Quelle exigence réglementaire doit être respectée pour vous permettre de réparer un émetteur de radio amateur au nom d'une autre personne?;Vous et l'autre personne devez être titulaires d'un certificat d'opérateur radioamateur;Seule l'autre personne doit être titulaire d'un certificat d'opérateur radioamateur;Vous seul devez être titulaire d'un certificat d'opérateur radioamateur;L'autre personne doit être inscrite à un cours de certification en radio amateur
B-001-005-006;What regulatory requirement must be met to allow you to place an amateur radio transmitter in service on behalf of another person?;Both you and the other person must hold Amateur Radio Operator Certificates;Only the other person must hold an Amateur Radio Operator Certificate;Only you must hold an Amateur Radio Operator Certificate;The other person must be enrolled in an amateur radio certification course;Quelle exigence réglementaire doit être respectée pour vous permettre de mettre en service un émetteur de radio amateur au nom d'une autre personne?;Vous et l'autre personne devez être titulaires d'un certificat d'opérateur radioamateur;Seule l'autre personne doit être titulaire d'un certificat d'opérateur radioamateur;Vous seul devez être titulaire d'un certificat d'opérateur radioamateur;L'autre personne doit être inscrite à un cours de certification en radio amateur
B-001-006-001;An amateur radio station with a maximum power output of 2 watts:;must be under the supervision of a person holding an Amateur Radio Operator Certificate and call sign;need not be authorized by Innovation, Science and Economic Development Canada;need not be authorized in isolated areas only;is exempt from regulatory control;Une station de radio amateur dont la puissance maximale est de 2 watts:;doit être sous la supervision d'une personne détenant un certificat d'opérateur radioamateur et un indicatif d'appel;ne fait pas l'objet d'une autorisation par Innovation, Sciences et Développement économique Canada;ne fait pas l'objet d'une autorisation dans les endroits isolés seulement;est dispensée de tout contrôle réglementaire
B-001-006-002;An amateur radio station may be used to communicate with:;stations operated under similar authorizations;any stations which are identified for special contests;Armed Forces stations during contests and exercises;any station transmitting in amateur radio bands;On peut utiliser une station de radio amateur pour communiquer avec:;toute station ayant fait l'objet du même type d'autorisation;toute station identifiée comme participant à des concours spéciaux;des stations des Forces armées dans le cadre de concours et d'exercices;toute station qui émet dans les bandes du service de radioamateur
B-001-006-003;Under what circumstances is an amateur radio operator permitted to use an amplifier to amplify the output of a licence-exempt transmitter?;This is not permitted;When emissions will be outside amateur radio frequency allocations;Only for short test transmissions;When other users will not be interfered with;Dans quelles circonstances, un radioamateur peut-il utiliser un amplificateur pour amplifier la sortie d'un émetteur exempté de licence?;Une telle utilisation est interdite;Pour émettre hors des bandes du service de radioamateur;Seulement pour de courts essais;Si aucun autre usager ne subit de brouillage
B-001-006-004;When is it permissible to use amateur radio equipment, with or without modification, to transmit outside amateur radio bands?;Never, amateur radio equipment is not certified for operation outside amateur radio bands;When the control operator holds an Advanced Qualification;When the operator already owns licensed equipment for such frequencies;When transmissions are limited to licence-exempt frequencies;Dans quelles circonstances, un radioamateur peut-il utiliser de l'équipement destiné au service de radioamateur, avec ou sans modification, hors de ces bandes?;Jamais, l'équipement n'est pas homologué pour opérer hors des bandes du service de radioamateur;Quand l'opérateur responsable détient une compétence supérieure;Quand l'opérateur détient une autorisation pour les autres bandes de fréquences;Quand seules des bandes exemptées de licence sont utilisées
B-001-006-005;Which of the following statements is NOT correct? A person may operate radio apparatus, authorized in the amateur radio service:;on aeronautical, marine or land mobile frequencies;only if the person complies with the Standards for the Operation of Radio Stations in the Amateur Radio Service;only if the apparatus is maintained to the performance standards set by Innovation, Science and Economic Development Canada regulations and policies;except for the amplification of the output power of licence-exempt radio apparatus operating outside authorized amateur radio service allocations;Lequel des énoncés suivants est FAUX? Une personne peut faire fonctionner un appareil radio autorisé pour le service de radioamateur:;sur les fréquences des services mobiles aéronautique, maritime ou terrestre;seulement lorsque cette personne respecte les Normes relatives à l'exploitation des stations radio du service de radioamateur;seulement lorsque l'appareil est conforme aux normes édictées dans les règlements et politiques d'Innovation, Sciences et Développement économique Canada;sauf pour l'amplification de la puissance de sortie d'un appareil radio exempté de licence et opéré hors des bandes du service de radioamateur
B-001-006-006;Some VHF and UHF FM radios purchased for use in the amateur radio service can also be programmed to communicate on frequencies used for the land mobile service. Under what conditions is this permissible?;The radio is certified and licensed for use in the land mobile service;The radio operator has a Restricted Operator's Certificate;The equipment has an RF power output of 2 watts or less;The equipment is used in remote areas north of 60 degrees latitude;Certains appareils VHF et UHF FM achetés pour usage sur le service de radioamateur peuvent aussi être programmés sur des fréquences du service mobile terrestre. Sous quelle condition cette pratique est-elle légale?;L'appareil est homologué pour ce service et son utilisation est autorisée par une licence;L'opérateur détient un certificat restreint d'opérateur;La puissance de sortie RF de l'équipement est de 2 watts ou moins;L'équipement est utilisé dans des endroits isolés au nord du 60e parallèle
B-001-007-001;Which of the following topics is prohibited on an amateur radio club net?;Business planning;Recreation planning;Code practice planning;Emergency planning;Lequel des sujets suivants est interdit sur un réseau regroupant des radioamateurs?;La planification commerciale;Les projets récréatifs;Les exercices de code Morse;Les réseaux d'urgence
B-001-007-002;When is an amateur radio operator allowed to broadcast information to the general public?;An amateur radio operator may never broadcast to the general public;Only when the amateur radio operator is being paid;Only when the broadcasts last less than 1 hour;Only when the broadcasts are of broad public interest;Dans quelle situation un radioamateur peut-il diffuser de l'information au public en général?;Un radioamateur ne peut jamais diffuser au public en général;À la condition que le radioamateur soit rémunéré;Pourvu que la communication ne dure pas plus d'une heure;Pourvu que les diffusions soient d'intérêt public
B-001-007-003;Which of the following statements is NOT correct?;An amateur radio operator may conduct occasional business on the air;A considerate amateur radio operator does not transmit unnecessary signals;A courteous amateur radio operator refrains from using offensive language;An amateur radio operator does not obscure the meaning of their transmissions;Lequel des énoncés suivants est FAUX?;Un radioamateur peut mener des affaires occasionnelles en ondes;Le radioamateur prévenant ne met pas en ondes des signaux superflus;Le radioamateur courtois n'utilise pas un langage grossier;Un radioamateur ne tente pas de cacher la signification de ses messages
B-001-007-004;Which of the following one-way communications may NOT be transmitted in the amateur radio service?;Broadcasts intended for the general public;Radio control commands to model craft;Brief transmissions to make adjustments to the station;Morse code practice;Laquelle de ces émissions à sens unique NE peut être transmise par une station de radio amateur?;La radiodiffusion à l'intention du public en général;La télécommande par radio de modèles réduits;De courtes émissions afin de régler l'équipement de la station;Les exercices de code Morse
B-001-007-005;Under what condition are you permitted to use a new digital encoding technique that you developed to transmit data over amateur radio bands?;When it is published in the public domain;When it is used for music streaming content;When it is used for commercial traffic;When it includes sending the amateur radio station's call sign;Sous quelle condition êtes-vous autorisé à utiliser une nouvelle technique de codage numérique que vous avez développée pour transmettre des données sur les bandes du service de radioamateur?;Lorsqu'elle a été publiée dans le domaine public;Lorsqu'elle est utilisée pour diffuser de la musique en continu;Lorsqu'elle est utilisée pour des échanges commerciaux;Lorsqu'elle inclut l'indicatif d'appel de la station d'origine
B-001-007-006;When may an amateur radio station transmit an encoded message?;Only when the encoding or cipher is not secret;Only during a declared communications emergency;Only during contests;Only when transmitting above 450 MHz;Dans quelle situation un radioamateur peut-il transmettre un message codé?;Seulement si l'encodage n'est pas secret;Seulement lors de communications en situation d'urgence;Seulement pendant les concours;Seulement lorsqu'il émet sur des fréquences supérieures à 450 MHz
B-001-007-007;What are the restrictions on the use of abbreviations or procedural signals in the amateur radio service?;They may be used if the signals or codes are not secret;There are no restrictions;They are not permitted because they obscure the meaning of a message to government monitoring stations;Only "10 codes" are permitted;Quelles sont les restrictions au sujet de l'utilisation des abréviations et des codes en radio amateur?;Ils peuvent être utilisés pour autant qu'ils ne soient pas secrets;Il n'y a pas de restrictions;Ils sont interdits parce qu'ils empêchent les stations de surveillance du gouvernement de comprendre le sens des messages;Seulement les "codes 10" sont permis
B-001-007-008;What should you do to keep your amateur radio station from retransmitting music or signals from a non-amateur radio station?;Turn down the volume of background audio;Turn up the volume of your transmitter;Speak closer to the microphone to increase your signal strength;Adjust your transceiver noise blanker;Que devriez-vous faire pour éviter que votre station de radio amateur retransmette de la musique ou d'autres signaux provenant de stations ne faisant pas partie du service de radioamateur?;Baisser le volume de ces autres appareils;Augmenter le volume de votre émetteur;Parler plus près du microphone pour augmenter l'intensité de votre signal;Régler le suppresseur de bruit sur votre émetteur-récepteur
B-001-007-009;The transmission of a secret code by the operator of an amateur radio station:;is not permitted;is permitted for contests;must be approved by Innovation, Science and Economic Development Canada;is permitted for third-party traffic;L'emploi d'un code secret par l'opérateur d'une station de radio amateur:;est interdit;est autorisé dans le cadre de concours;doit être approuvé par Innovation, Sciences et Développement économique Canada;est autorisé dans le cas de messages transmis au nom d'un tiers
B-001-007-010;An amateur radio operator may be engaged in communications including the transmission of:;Q codes;programming that originates from a broadcasting undertaking;radiocommunication in support of industrial, business, or professional activities;commercially recorded material;Un radioamateur peut transmettre des communications qui incluent la transmission:;de codes Q;de programmes provenant d'un radiodiffuseur;de radiocommunications relatives à des activités industrielles, commerciales ou professionnelles;de matériel enregistré commercialement
B-001-007-011;In the amateur radio service, business communications:;are not permitted under any circumstance;are permitted on some bands;are only permitted if they are for the safety of life or immediate protection of property;are not prohibited by regulation;Dans le service de radioamateur, les communications de nature commerciale:;sont interdites en tout temps;sont autorisées dans certaines bandes;sont autorisées uniquement pour la sauvegarde de la vie humaine ou la protection immédiate de la propriété;ne sont pas interdites par règlement
B-001-008-001;Where may holders of an Amateur Radio Operator Certificate operate an amateur radio station in Canada?;Anywhere in Canada;Anywhere in Canada only during times of emergency;Only at the address shown on Innovation, Science and Economic Development Canada records;Only within their province or territory;À quel endroit les titulaires d'un certificat d'opérateur radioamateur peuvent-ils exploiter une station de ce service au Canada?;Partout au Canada;Partout au Canada, seulement en situation d'urgence;Uniquement à l'adresse indiquée dans les dossiers d'Innovation, Sciences et Développement économique Canada;Uniquement de leur province ou territoire
B-001-008-002;Which type of station may transmit one-way communications?;Beacon station;Repeater station;HF station;VHF station;Quel genre de station émet des communications à sens unique?;Une station balise;Un répéteur;Une station HF;Une station VHF
B-001-008-003;What minimum qualifications must an amateur radio operator hold to assemble commercially available transmitter kits of professional design?;Basic;Basic with Honours;Basic and Morse code;Basic and Advanced;Quelles compétences minimales le radioamateur doit-il détenir pour l'assemblage d'émetteurs prêts-à-monter de conception professionnelle en vente dans le commerce?;Base;Base avec distinction;Base et code Morse;Base et supérieure
B-001-008-004;What minimum qualifications must an amateur radio operator hold to install a repeater operating on a single band in a voice mode?;Basic and Advanced;Basic and Morse code;Basic with Honours;Basic;Quelles compétences minimales le radioamateur doit-il détenir pour établir un répéteur fonctionnant sur une bande unique en mode voix?;Base et supérieure;Base et code Morse;Base avec distinction;Base
B-001-008-005;What minimum qualifications must an amateur radio operator hold to install an amateur radio club station?;Basic and Advanced;Basic, Advanced and Morse code;Basic;Basic with Honours;Quelles compétences minimales le radioamateur doit-il détenir pour établir une station de club radio amateur?;Base et supérieure;Base, supérieure et code Morse;Base;Base avec distinction
B-001-008-006;What minimum qualifications must an amateur radio operator hold to install or operate a transmitter or RF amplifier that is neither professionally designed nor commercially manufactured for use in the amateur radio service?;Basic and Advanced;Basic with Honours;Basic and Morse code;Basic, Advanced and Morse code;Quelles compétences minimales le radioamateur doit-il détenir pour le montage ou l'exploitation de tout émetteur ou amplificateur de puissance RF qui ne sont pas conçus professionnellement ni assemblés commercialement pour le service de radioamateur?;Base et supérieure;Base avec distinction;Base et code Morse;Base, supérieure et code Morse
B-001-008-007;What minimum qualifications must an amateur radio operator hold to operate cross-band repeaters?;Basic;Basic with Honours;Basic and Morse code;Basic and Advanced;Quelles compétences minimales le radioamateur doit-il détenir pour exploiter un répéteur à bandes croisées ("cross-band")?;Base;Base avec distinction;Base et code Morse;Base et supérieure
B-001-008-008;What minimum qualifications must an amateur radio operator hold to remotely operate a transmitter, including changing frequency, emission mode or output power?;Basic and Advanced;Basic and Morse code;Basic with Honours;Basic;Quelles compétences minimales le radioamateur doit-il détenir pour commander à distance un émetteur, incluant changer la fréquence, le mode d'émission ou la puissance?;Base et supérieure;Base et code Morse;Base avec distinction;Base
B-001-009-001;Who is responsible for the operation of an amateur radio station?;Both the control operator and the station owner;Only the station owner who is the holder of an Amateur Radio Operator Certificate;The person who owns the station equipment;Only the control operator;Qui est responsable de l'exploitation d'une station de radio amateur?;L'opérateur responsable et le propriétaire de la station;Uniquement le propriétaire de la station qui est titulaire d'un certificat d'opérateur radioamateur;Le propriétaire de l'équipement de la station;L'opérateur responsable seulement
B-001-009-002;If you transmit from another amateur radio station, who is responsible for its operation?;Both of you;You;The station owner, unless the station logbook shows you as the control operator;The station owner;Si vous émettez à partir de la station d'un autre radioamateur, qui est responsable de l'exploitation de la station?;Vous-même et le propriétaire de la station;Vous-même;Le propriétaire de la station, à moins que le journal radio vous désigne comme opérateur responsable;Le propriétaire de la station
B-001-009-003;What is your responsibility as a station owner?;You are responsible for the operation of the station in accordance with the regulations;You must allow another amateur radio operator to operate your station upon request;You must be present whenever the station is operated;You must notify Innovation, Science and Economic Development Canada if another amateur radio operator acts as the control operator;Quelle est votre responsabilité en tant que propriétaire d'une station?;Vous êtes responsable de l'exploitation de la station conformément aux règlements;Vous devez permettre à un autre radioamateur d'opérer la station sur demande;Vous devez être présent lorsque la station est utilisée;Vous devez aviser Innovation, Sciences et Développement économique Canada lorsqu'un autre radioamateur est l'opérateur responsable
